Job Role,Company,Experience Level,Location,Skills,Job Type,Work Mode,Salary Range,Job Posting Date,Min Salary (LPA),Max Salary (LPA)
Senior Data Analyst,Thompson-Schmitt,Senior Level,Hyderabad,"excel, google cloud, machine learning, powerbi, powerbi, sql",Internship,On-Site,14-29 LPA,2025-08-15,14.0,29.0
Senior Data Analyst,Henderson Plc,Senior Level,Kolkata,"machine learning, google cloud, powerbi",Full-Time,Remote,7-28 LPA,2025-03-23,7.0,28.0
Data Analyst,Odonnell-Parker,Senior Level,Pune,"powerbi, google colab, r, machine learning, google cloud",Part-Time,Remote,8-29 LPA,2024-12-30,8.0,29.0
Data Analytics Specialist,"Benjamin, Hays And Obrien",Entry Level,Pune,"excel, machine learning, google colab, powerbi, tableau",Contract,Remote,10-24 LPA,2024-09-04,10.0,24.0
Data Analyst,Roberts-Smith,Internship,Mumbai,"google colab, sql, r",Contract,On-Site,11-23 LPA,2024-09-17,11.0,23.0
Data Analytics Specialist,"Lester, James And Arroyo",Internship,Pune,"tableau, excel, google cloud, powerbi, python",Part-Time,On-Site,15-18 LPA,2025-02-11,15.0,18.0
Junior Data Analyst,Howard-Lawrence,Entry Level,New Delhi,"r, excel, sql, machine learning",Contract,On-Site,12-24 LPA,2025-03-18,12.0,24.0
Data Analytics Specialist,Wood Ltd,Entry Level,Pune,"powerbi, sql, google colab, tableau",Contract,Remote,4-31 LPA,2025-04-28,4.0,31.0
Senior Data Analyst,Doyle Ltd,Mid Level,New Delhi,"tableau, google colab, r, sql, python, powerbi",Contract,Hybrid,8-16 LPA,2025-03-19,8.0,16.0
Data Analyst,"Hudson, Wiley And Reyes",Entry Level,Hyderabad,"sql, excel, powerbi, powerbi, machine learning",Part-Time,Hybrid,15-32 LPA,2024-11-28,15.0,32.0
Junior Data Analyst,"Santos, Payne And Torres",Senior Level,Chennai,"google colab, python, tableau",Part-Time,On-Site,14-33 LPA,2024-12-18,14.0,33.0
Data Analyst,Davidson Plc,Entry Level,New Delhi,"tableau, google colab, powerbi, google cloud, excel, machine learning",Part-Time,Remote,9-24 LPA,2025-08-06,9.0,24.0
Data Analytics Specialist,Huffman-Williams,Mid Level,Pune,"sql, google cloud, google colab, powerbi",Part-Time,Remote,5-34 LPA,2025-06-09,5.0,34.0
Senior Data Analyst,"Henry, Villa And Evans",Internship,Kolkata,"powerbi, powerbi, tableau, sql, excel, google colab",Part-Time,On-Site,5-19 LPA,2024-10-10,5.0,19.0
Data Analytics Specialist,Grimes-Cannon,Senior Level,Remote,"tableau, powerbi, sql, powerbi, machine learning",Part-Time,Remote,12-32 LPA,2024-11-25,12.0,32.0
Senior Data Analyst,"Massey, Johnson And Navarro",Internship,Mumbai,"machine learning, python, excel",Part-Time,Hybrid,7-16 LPA,2024-12-23,7.0,16.0
Senior Data Analyst,"Romero, Campbell And Thomas",Entry Level,Remote,"sql, excel, tableau",Part-Time,Hybrid,12-29 LPA,2025-05-26,12.0,29.0
Data Analytics Specialist,Martinez-Franco,Internship,Pune,"tableau, r, python, machine learning",Part-Time,Remote,7-25 LPA,2025-05-30,7.0,25.0
Junior Data Analyst,Ramirez Plc,Entry Level,New Delhi,"google colab, excel, powerbi, sql, powerbi, tableau",Part-Time,Hybrid,6-35 LPA,2025-03-20,6.0,35.0
Junior Data Analyst,Davis And Sons,Entry Level,Bangalore,"r, machine learning, sql",Part-Time,Remote,8-35 LPA,2025-01-13,8.0,35.0
Data Analyst,"Patel, Torres And Griffith",Entry Level,Kolkata,"sql, python, powerbi, powerbi, powerbi",Full-Time,On-Site,4-28 LPA,2024-10-24,4.0,28.0
Data Analyst,Lopez-Greene,Internship,Remote,"sql, google cloud, powerbi, powerbi",Internship,Hybrid,6-17 LPA,2025-01-18,6.0,17.0
Data Analytics Specialist,Brooks Llc,Mid Level,Kolkata,"google cloud, sql, python, tableau, r",Part-Time,Remote,5-19 LPA,2025-08-17,5.0,19.0
Data Analyst,Rivers Ltd,Senior Level,Remote,"r, excel, google cloud, powerbi",Internship,Remote,10-24 LPA,2024-11-07,10.0,24.0
Data Analytics Specialist,Santiago-Matthews,Internship,Remote,"powerbi, excel, tableau, sql, powerbi",Contract,Remote,15-24 LPA,2025-07-01,15.0,24.0
Senior Data Analyst,Patterson-Brown,Mid Level,Chennai,"tableau, sql, machine learning, excel",Part-Time,On-Site,12-27 LPA,2024-10-18,12.0,27.0
Senior Data Analyst,Robertson Llc,Senior Level,Kolkata,"sql, powerbi, r, google colab, powerbi, tableau",Part-Time,On-Site,13-16 LPA,2025-08-27,13.0,16.0
Senior Data Analyst,Smith Llc,Internship,New Delhi,"powerbi, r, sql, powerbi, google colab",Contract,On-Site,12-23 LPA,2025-01-15,12.0,23.0
Junior Data Analyst,"Rivera, Brown And Johnson",Internship,Mumbai,"google cloud, excel, google colab",Part-Time,Remote,6-31 LPA,2025-03-02,6.0,31.0
Data Analyst,Crawford Plc,Internship,Hyderabad,"r, tableau, machine learning",Internship,Remote,4-17 LPA,2024-11-22,4.0,17.0
Junior Data Analyst,Wilson-Chavez,Entry Level,Mumbai,"google cloud, machine learning, powerbi, r, google colab, powerbi",Full-Time,Hybrid,11-27 LPA,2024-09-04,11.0,27.0
Data Analyst,Hicks-Boyd,Entry Level,Bangalore,"machine learning, google cloud, excel, tableau",Contract,Hybrid,3-33 LPA,2024-09-26,3.0,33.0
Data Analytics Specialist,Obrien-Bartlett,Senior Level,Kolkata,"google colab, powerbi, r, google cloud, sql, machine learning",Full-Time,Remote,13-18 LPA,2025-08-10,13.0,18.0
Senior Data Analyst,Thomas-Edwards,Entry Level,New Delhi,"powerbi, powerbi, google cloud, google colab",Part-Time,Remote,15-32 LPA,2025-05-25,15.0,32.0
Data Analyst,Boone Ltd,Entry Level,Pune,"google colab, google cloud, powerbi, powerbi, machine learning",Internship,Hybrid,14-25 LPA,2024-10-17,14.0,25.0
Data Analyst,Garcia Group,Entry Level,Chennai,"r, excel, sql, powerbi",Full-Time,On-Site,6-34 LPA,2025-07-15,6.0,34.0
Data Analyst,Schwartz Inc,Senior Level,Hyderabad,"excel, machine learning, google colab, powerbi",Full-Time,Remote,6-28 LPA,2024-12-30,6.0,28.0
Data Analytics Specialist,Lee Ltd,Mid Level,Remote,"google colab, google cloud, machine learning",Internship,Hybrid,6-17 LPA,2025-01-21,6.0,17.0
Senior Data Analyst,"Howard, Knight And Johnson",Senior Level,Mumbai,"powerbi, powerbi, machine learning, google colab, tableau, google cloud",Internship,On-Site,9-32 LPA,2024-11-13,9.0,32.0
Senior Data Analyst,Dunn Inc,Senior Level,Bangalore,"google cloud, python, machine learning",Internship,Remote,11-16 LPA,2024-10-06,11.0,16.0
Junior Data Analyst,Austin And Sons,Mid Level,New Delhi,"google cloud, google colab, powerbi, powerbi, machine learning, tableau",Part-Time,On-Site,7-29 LPA,2025-01-08,7.0,29.0
Data Analytics Specialist,Luna Plc,Mid Level,Bangalore,"r, python, google cloud, powerbi, sql",Part-Time,On-Site,14-31 LPA,2025-07-08,14.0,31.0
Data Analytics Specialist,Boyd-Rodriguez,Senior Level,Pune,"tableau, powerbi, r, powerbi",Internship,Hybrid,9-24 LPA,2025-01-07,9.0,24.0
Senior Data Analyst,Taylor-Le,Entry Level,Remote,"sql, machine learning, powerbi",Internship,On-Site,9-28 LPA,2025-05-15,9.0,28.0
Senior Data Analyst,Scott Inc,Mid Level,Chennai,"tableau, python, google colab, excel",Part-Time,On-Site,7-19 LPA,2024-12-23,7.0,19.0
Data Analyst,Hess-Rodriguez,Entry Level,Hyderabad,"powerbi, machine learning, excel, google colab",Contract,Remote,12-16 LPA,2024-11-02,12.0,16.0
Junior Data Analyst,"Rodriguez, Miller And Johnson",Internship,Chennai,"powerbi, python, powerbi, machine learning, google cloud, r",Part-Time,Remote,3-22 LPA,2024-12-11,3.0,22.0
Senior Data Analyst,"Martin, Craig And Rich",Mid Level,Remote,"r, google cloud, tableau, google colab",Internship,Remote,10-32 LPA,2025-06-19,10.0,32.0
Data Analytics Specialist,"Jackson, Horne And Taylor",Internship,New Delhi,"google cloud, excel, machine learning, google colab, powerbi, sql",Full-Time,Remote,12-28 LPA,2025-07-13,12.0,28.0
Junior Data Analyst,"Rice, Sims And Shah",Mid Level,Chennai,"powerbi, powerbi, excel",Internship,Remote,6-34 LPA,2025-01-12,6.0,34.0
Senior Data Analyst,Mcdonald Llc,Mid Level,Chennai,"google cloud, powerbi, excel, r, powerbi, machine learning",Contract,Hybrid,3-21 LPA,2025-08-05,3.0,21.0
Junior Data Analyst,Green And Sons,Entry Level,New Delhi,"r, powerbi, powerbi, google cloud, excel",Part-Time,Hybrid,12-23 LPA,2024-09-15,12.0,23.0
Senior Data Analyst,Finley Llc,Senior Level,New Delhi,"powerbi, powerbi, python, powerbi, excel",Internship,Remote,8-20 LPA,2025-06-30,8.0,20.0
Junior Data Analyst,Roman Group,Entry Level,Pune,"excel, sql, google colab",Contract,Remote,4-24 LPA,2024-09-22,4.0,24.0
Data Analyst,Reed Inc,Senior Level,Mumbai,"r, powerbi, python, google cloud, powerbi",Internship,Hybrid,10-24 LPA,2025-01-08,10.0,24.0
Senior Data Analyst,Sanchez-Hooper,Mid Level,Hyderabad,"powerbi, google cloud, r, python, google colab, tableau",Contract,On-Site,7-27 LPA,2024-12-12,7.0,27.0
Data Analytics Specialist,Gonzalez Llc,Entry Level,Bangalore,"r, excel, google colab, sql, powerbi",Full-Time,On-Site,9-28 LPA,2025-05-03,9.0,28.0
Data Analytics Specialist,"Collier, Chambers And Young",Internship,Kolkata,"google cloud, powerbi, machine learning, python",Part-Time,Hybrid,11-30 LPA,2025-05-03,11.0,30.0
Data Analyst,"Johnson, Moss And Coleman",Entry Level,Kolkata,"sql, google cloud, excel",Full-Time,Hybrid,8-24 LPA,2025-06-01,8.0,24.0
Data Analyst,Foster Group,Internship,New Delhi,"python, tableau, r, powerbi, powerbi, google cloud",Full-Time,On-Site,8-20 LPA,2025-03-05,8.0,20.0
Data Analytics Specialist,Fischer-Nichols,Entry Level,Bangalore,"tableau, powerbi, powerbi, google cloud, machine learning",Internship,Remote,6-34 LPA,2025-08-24,6.0,34.0
Senior Data Analyst,Fisher Group,Mid Level,Hyderabad,"machine learning, sql, google colab",Contract,On-Site,15-32 LPA,2025-07-08,15.0,32.0
Junior Data Analyst,Gibson-Jenkins,Internship,Bangalore,"python, r, google cloud, powerbi",Contract,On-Site,12-23 LPA,2025-03-17,12.0,23.0
Data Analytics Specialist,"Lyons, Rhodes And Lopez",Senior Level,Pune,"r, google colab, machine learning, excel, powerbi, python",Contract,Remote,10-24 LPA,2025-07-07,10.0,24.0
Junior Data Analyst,"Neal, Simon And Sutton",Entry Level,Remote,"machine learning, powerbi, powerbi, sql, excel, google colab",Full-Time,Remote,9-18 LPA,2025-01-08,9.0,18.0
Data Analytics Specialist,Griffin-Phelps,Mid Level,Chennai,"r, sql, google cloud",Part-Time,On-Site,8-26 LPA,2025-07-31,8.0,26.0
Data Analyst,"Thomas, Padilla And Williamson",Internship,Kolkata,"python, excel, machine learning",Part-Time,On-Site,7-20 LPA,2024-12-15,7.0,20.0
Junior Data Analyst,Young Ltd,Internship,Remote,"r, excel, machine learning, python, powerbi",Full-Time,Remote,5-23 LPA,2024-12-25,5.0,23.0
Senior Data Analyst,Burns Group,Senior Level,Kolkata,"google colab, python, excel, sql, r",Part-Time,Hybrid,6-33 LPA,2025-03-26,6.0,33.0
Senior Data Analyst,Sanford Plc,Internship,Pune,"google colab, excel, powerbi, tableau, google cloud, sql",Internship,Remote,9-20 LPA,2025-01-11,9.0,20.0
Senior Data Analyst,"Cruz, Martin And Phillips",Entry Level,Hyderabad,"tableau, excel, google colab, powerbi, python",Full-Time,Remote,4-19 LPA,2025-01-08,4.0,19.0
Data Analytics Specialist,"Hernandez, Clayton And Allison",Entry Level,Pune,"powerbi, google cloud, r, excel, sql",Internship,Hybrid,8-17 LPA,2025-06-16,8.0,17.0
Senior Data Analyst,"Wang, Frazier And Marshall",Internship,Bangalore,"excel, powerbi, r, tableau",Internship,Remote,5-21 LPA,2025-05-19,5.0,21.0
Junior Data Analyst,Rodriguez-Torres,Internship,New Delhi,"google cloud, tableau, powerbi",Contract,On-Site,3-35 LPA,2025-01-31,3.0,35.0
Data Analyst,Pham-Martin,Entry Level,Kolkata,"powerbi, r, excel",Internship,Remote,4-17 LPA,2025-05-31,4.0,17.0
Data Analytics Specialist,Logan-Carpenter,Internship,Bangalore,"powerbi, excel, machine learning",Full-Time,On-Site,6-32 LPA,2025-05-15,6.0,32.0
Data Analytics Specialist,"Richardson, Powell And Williams",Mid Level,Pune,"powerbi, r, python, tableau, sql, powerbi",Part-Time,On-Site,3-22 LPA,2024-12-13,3.0,22.0
Senior Data Analyst,"Cook, Logan And White",Mid Level,Bangalore,"powerbi, r, powerbi, google cloud, sql, python",Internship,Remote,6-17 LPA,2025-08-18,6.0,17.0
Senior Data Analyst,Hebert-Thomas,Entry Level,New Delhi,"machine learning, powerbi, sql, python",Internship,Remote,3-16 LPA,2024-11-18,3.0,16.0
Senior Data Analyst,"Baker, Anderson And Glass",Internship,New Delhi,"powerbi, powerbi, python, tableau, excel",Internship,Remote,14-31 LPA,2025-03-08,14.0,31.0
Data Analyst,Mckinney-Johnson,Senior Level,Bangalore,"excel, python, r, tableau",Internship,Hybrid,10-30 LPA,2025-02-08,10.0,30.0
Junior Data Analyst,"David, Welch And Wood",Internship,Pune,"python, google cloud, google colab, r, powerbi, tableau",Internship,On-Site,11-28 LPA,2024-11-01,11.0,28.0
Junior Data Analyst,"Cherry, Ray And Allen",Internship,Mumbai,"python, excel, google cloud, powerbi",Internship,On-Site,8-20 LPA,2025-07-28,8.0,20.0
Data Analyst,Larson Ltd,Entry Level,Mumbai,"google colab, machine learning, powerbi, google cloud",Internship,Remote,13-31 LPA,2025-08-09,13.0,31.0
Junior Data Analyst,Carpenter Llc,Mid Level,Pune,"google colab, powerbi, machine learning, powerbi, powerbi",Full-Time,On-Site,8-26 LPA,2024-10-04,8.0,26.0
Senior Data Analyst,Russell Llc,Mid Level,Chennai,"r, python, google cloud, powerbi, excel, powerbi",Part-Time,On-Site,8-32 LPA,2025-06-25,8.0,32.0
Junior Data Analyst,Anderson-Gonzales,Senior Level,Remote,"python, sql, r, machine learning, excel, tableau",Contract,Hybrid,10-19 LPA,2025-07-13,10.0,19.0
Data Analytics Specialist,"Mack, Cruz And Adams",Entry Level,Mumbai,"sql, powerbi, google colab, excel",Full-Time,Hybrid,4-16 LPA,2025-05-10,4.0,16.0
Data Analytics Specialist,Martinez Group,Mid Level,Hyderabad,"machine learning, powerbi, tableau, google cloud",Internship,Hybrid,8-32 LPA,2025-03-14,8.0,32.0
Junior Data Analyst,Mckee-Olson,Internship,Chennai,"google colab, powerbi, powerbi, machine learning, python",Contract,On-Site,9-35 LPA,2025-04-09,9.0,35.0
Senior Data Analyst,Long-Baker,Entry Level,Bangalore,"sql, machine learning, google colab, powerbi",Part-Time,Remote,10-29 LPA,2025-02-11,10.0,29.0
Data Analytics Specialist,Castro-Gilmore,Mid Level,Pune,"tableau, powerbi, sql, excel, powerbi",Part-Time,On-Site,7-19 LPA,2025-04-28,7.0,19.0
Senior Data Analyst,Ryan-Thomas,Senior Level,Pune,"r, powerbi, excel",Full-Time,Hybrid,15-22 LPA,2024-10-14,15.0,22.0
Data Analyst,Jones-Nichols,Internship,Hyderabad,"google cloud, powerbi, powerbi, sql, python, tableau",Contract,Hybrid,10-35 LPA,2025-01-02,10.0,35.0
Senior Data Analyst,"Rodriguez, Lynch And Wilson",Entry Level,New Delhi,"powerbi, r, google colab, python, powerbi, powerbi",Part-Time,On-Site,13-34 LPA,2025-07-08,13.0,34.0
Junior Data Analyst,Gomez Ltd,Internship,Hyderabad,"powerbi, sql, google cloud, machine learning, powerbi, excel",Internship,On-Site,5-28 LPA,2025-04-19,5.0,28.0
Senior Data Analyst,Dixon Group,Entry Level,Pune,"sql, machine learning, google cloud, powerbi, google colab",Internship,Remote,5-24 LPA,2025-01-26,5.0,24.0
Senior Data Analyst,Heath Inc,Entry Level,Mumbai,"powerbi, tableau, python, excel",Full-Time,Remote,13-28 LPA,2024-11-15,13.0,28.0
Data Analytics Specialist,"Jackson, Gilbert And Hernandez",Mid Level,Hyderabad,"powerbi, tableau, r, python, google cloud",Internship,Remote,12-20 LPA,2025-04-18,12.0,20.0
Junior Data Analyst,"Jackson, Harris And Hall",Senior Level,Kolkata,"google cloud, sql, powerbi, google colab, python",Contract,Remote,3-24 LPA,2025-01-17,3.0,24.0
Junior Data Analyst,"Smith, Hicks And Byrd",Senior Level,Mumbai,"machine learning, tableau, sql, google cloud",Full-Time,On-Site,8-22 LPA,2024-09-23,8.0,22.0
Data Analyst,Johnson-Watson,Senior Level,Hyderabad,"tableau, powerbi, google colab, powerbi",Contract,On-Site,12-34 LPA,2025-08-08,12.0,34.0
Junior Data Analyst,"Walker, Garcia And Evans",Mid Level,Kolkata,"powerbi, sql, machine learning, google cloud, google colab, excel",Full-Time,On-Site,15-16 LPA,2025-05-31,15.0,16.0
Data Analytics Specialist,Orr And Sons,Entry Level,Bangalore,"google cloud, machine learning, r",Full-Time,Remote,12-23 LPA,2025-03-06,12.0,23.0
Data Analyst,"Silva, Patrick And Jones",Internship,New Delhi,"tableau, google cloud, machine learning, r, powerbi, powerbi",Part-Time,On-Site,7-18 LPA,2025-01-11,7.0,18.0
Junior Data Analyst,"Bennett, Calhoun And Rice",Senior Level,New Delhi,"r, powerbi, powerbi, google colab, sql",Part-Time,On-Site,4-22 LPA,2024-11-14,4.0,22.0
Senior Data Analyst,"Miller, Allen And Blevins",Internship,Mumbai,"sql, python, tableau, powerbi",Part-Time,On-Site,15-28 LPA,2025-07-01,15.0,28.0
Data Analyst,"Owens, Reyes And Morris",Senior Level,Remote,"excel, python, powerbi, r",Contract,Remote,14-34 LPA,2024-12-03,14.0,34.0
Data Analytics Specialist,"Logan, Johnson And Roberts",Mid Level,Remote,"google colab, machine learning, powerbi",Internship,Remote,4-35 LPA,2024-10-29,4.0,35.0
Data Analytics Specialist,Ross-Winters,Mid Level,New Delhi,"excel, powerbi, google colab",Internship,Remote,12-29 LPA,2024-11-28,12.0,29.0
Data Analytics Specialist,Cruz-Griffin,Internship,Bangalore,"powerbi, excel, powerbi",Internship,On-Site,10-22 LPA,2025-04-28,10.0,22.0
Data Analyst,Johnson-Scott,Mid Level,Bangalore,"sql, excel, machine learning, python, powerbi, powerbi",Full-Time,Hybrid,14-31 LPA,2025-05-23,14.0,31.0
Data Analytics Specialist,Atkins And Sons,Entry Level,Remote,"powerbi, r, python, powerbi, tableau",Full-Time,On-Site,15-25 LPA,2025-01-09,15.0,25.0
Senior Data Analyst,"Bailey, Grimes And Clarke",Internship,Bangalore,"google cloud, powerbi, tableau, powerbi, r",Contract,On-Site,9-24 LPA,2025-05-27,9.0,24.0
Junior Data Analyst,Johnson Ltd,Mid Level,Pune,"powerbi, google cloud, google colab, powerbi",Internship,On-Site,6-18 LPA,2025-01-13,6.0,18.0
Junior Data Analyst,"Carter, Haynes And Villegas",Senior Level,New Delhi,"r, sql, google cloud",Part-Time,Hybrid,9-31 LPA,2025-07-15,9.0,31.0
Junior Data Analyst,Davis Inc,Mid Level,New Delhi,"tableau, google cloud, machine learning, sql",Internship,Hybrid,9-16 LPA,2024-10-07,9.0,16.0
Data Analyst,"Mcgrath, Sheppard And Lewis",Entry Level,New Delhi,"powerbi, powerbi, sql",Contract,Hybrid,10-35 LPA,2025-02-13,10.0,35.0
Data Analytics Specialist,"Henderson, Young And Garcia",Entry Level,New Delhi,"powerbi, excel, tableau, google cloud, machine learning, google colab",Part-Time,Hybrid,4-31 LPA,2025-06-05,4.0,31.0
Junior Data Analyst,Morris-Gonzalez,Internship,Hyderabad,"powerbi, powerbi, machine learning, tableau, google cloud",Contract,Hybrid,12-28 LPA,2025-08-04,12.0,28.0
Senior Data Analyst,Kline-Smith,Entry Level,Chennai,"excel, machine learning, powerbi, powerbi, python",Part-Time,Remote,9-29 LPA,2025-05-14,9.0,29.0
Senior Data Analyst,Evans-Murphy,Mid Level,Remote,"machine learning, sql, tableau, python, google cloud, powerbi",Internship,Hybrid,5-31 LPA,2024-11-23,5.0,31.0
Junior Data Analyst,Rose-Harper,Internship,Remote,"machine learning, powerbi, python, excel",Full-Time,Remote,9-26 LPA,2024-09-05,9.0,26.0
Data Analytics Specialist,Edwards Llc,Mid Level,New Delhi,"tableau, r, sql",Internship,On-Site,6-29 LPA,2025-04-29,6.0,29.0
Data Analyst,Bird Plc,Internship,Pune,"powerbi, python, powerbi, excel, machine learning, google colab",Part-Time,Remote,3-25 LPA,2025-06-22,3.0,25.0
Senior Data Analyst,Benjamin-Love,Entry Level,Hyderabad,"google colab, tableau, sql",Internship,On-Site,7-19 LPA,2024-11-24,7.0,19.0
Senior Data Analyst,Burton-Brady,Internship,Kolkata,"python, excel, powerbi",Internship,Hybrid,6-23 LPA,2025-06-11,6.0,23.0
Data Analytics Specialist,"Porter, Jones And York",Internship,Remote,"python, google cloud, r, google colab, sql, powerbi",Part-Time,On-Site,13-18 LPA,2024-10-06,13.0,18.0
Data Analytics Specialist,"Gutierrez, Williams And Meyers",Entry Level,Remote,"r, machine learning, powerbi, google cloud, excel, python",Contract,Hybrid,10-30 LPA,2025-02-18,10.0,30.0
Data Analytics Specialist,Beard Group,Senior Level,Hyderabad,"python, powerbi, powerbi, machine learning, tableau",Full-Time,Remote,8-30 LPA,2025-06-04,8.0,30.0
Data Analyst,Fleming-Horton,Internship,Kolkata,"machine learning, powerbi, powerbi, google colab, sql, python",Internship,On-Site,3-20 LPA,2025-08-14,3.0,20.0
Data Analytics Specialist,"Sullivan, Moses And Rogers",Mid Level,Pune,"tableau, r, excel, powerbi",Part-Time,On-Site,14-35 LPA,2024-11-16,14.0,35.0
Senior Data Analyst,"Rose, Mendoza And Peck",Mid Level,Mumbai,"tableau, powerbi, python, powerbi",Contract,Remote,4-22 LPA,2025-01-28,4.0,22.0
Data Analyst,Wise Ltd,Mid Level,Remote,"tableau, powerbi, r, excel, python, machine learning",Full-Time,Remote,15-20 LPA,2024-12-09,15.0,20.0
Senior Data Analyst,Estrada-Gross,Internship,Mumbai,"tableau, r, google cloud, machine learning",Part-Time,Hybrid,13-19 LPA,2024-09-07,13.0,19.0
Data Analyst,Thompson-Simpson,Entry Level,Pune,"powerbi, tableau, r, powerbi, google cloud",Internship,Remote,3-21 LPA,2025-01-02,3.0,21.0
Senior Data Analyst,"Sellers, Scott And Lucas",Mid Level,Chennai,"powerbi, powerbi, python",Contract,Remote,11-30 LPA,2025-05-10,11.0,30.0
Senior Data Analyst,Larson Plc,Entry Level,Kolkata,"powerbi, powerbi, sql",Internship,On-Site,9-17 LPA,2024-09-07,9.0,17.0
Junior Data Analyst,Rodriguez Plc,Mid Level,Chennai,"powerbi, sql, google colab, tableau, excel",Full-Time,On-Site,6-34 LPA,2025-04-08,6.0,34.0
Data Analyst,"Schneider, Newton And Lee",Senior Level,Remote,"google colab, machine learning, sql, powerbi, powerbi, google cloud",Part-Time,On-Site,10-21 LPA,2025-06-22,10.0,21.0
Senior Data Analyst,"Williams, Lawson And Huynh",Senior Level,Chennai,"excel, python, powerbi",Contract,Remote,10-23 LPA,2025-07-24,10.0,23.0
Junior Data Analyst,Hansen-Logan,Internship,Chennai,"python, powerbi, google colab, powerbi, google cloud, tableau",Contract,Hybrid,5-20 LPA,2025-05-12,5.0,20.0
Data Analytics Specialist,Murillo And Sons,Entry Level,Pune,"python, sql, tableau, powerbi",Contract,Remote,15-20 LPA,2025-06-20,15.0,20.0
Data Analyst,Lane Group,Senior Level,Pune,"excel, python, tableau, powerbi, google cloud, powerbi",Internship,Remote,3-32 LPA,2025-03-16,3.0,32.0
Data Analytics Specialist,"Krause, Allen And Wood",Entry Level,Pune,"tableau, powerbi, r",Full-Time,On-Site,5-30 LPA,2025-06-16,5.0,30.0
Junior Data Analyst,"Moore, Wallace And Ward",Senior Level,Mumbai,"r, powerbi, google colab, powerbi, powerbi",Full-Time,Remote,3-21 LPA,2025-07-05,3.0,21.0
Senior Data Analyst,"Fuller, Myers And Nguyen",Internship,Kolkata,"python, google colab, powerbi",Part-Time,On-Site,10-23 LPA,2024-09-16,10.0,23.0
Data Analyst,Costa-Jackson,Internship,Pune,"excel, google cloud, r",Full-Time,Remote,11-21 LPA,2024-10-28,11.0,21.0
Data Analyst,Smith And Sons,Internship,Chennai,"machine learning, google colab, excel, powerbi, google cloud, powerbi",Full-Time,On-Site,14-23 LPA,2024-10-09,14.0,23.0
Junior Data Analyst,Davis-Sanders,Senior Level,Bangalore,"google colab, python, google cloud, r",Contract,On-Site,7-29 LPA,2024-10-01,7.0,29.0
Data Analyst,Rhodes-White,Internship,Hyderabad,"r, machine learning, google colab, powerbi, python, sql",Contract,Hybrid,4-22 LPA,2025-03-11,4.0,22.0
Data Analyst,"Taylor, Gilmore And Boyle",Mid Level,Pune,"python, tableau, r, sql, powerbi, google cloud",Internship,Remote,3-32 LPA,2025-05-06,3.0,32.0
Junior Data Analyst,"Finley, Oliver And Johnson",Mid Level,Hyderabad,"powerbi, powerbi, powerbi, r",Contract,Hybrid,12-23 LPA,2025-08-08,12.0,23.0
Senior Data Analyst,"Kaiser, Armstrong And Huang",Senior Level,Hyderabad,"r, excel, google cloud, powerbi, powerbi, tableau",Contract,On-Site,15-26 LPA,2025-06-06,15.0,26.0
Junior Data Analyst,Ross-Vance,Senior Level,Mumbai,"powerbi, sql, tableau",Full-Time,Remote,14-30 LPA,2024-10-14,14.0,30.0
Senior Data Analyst,"Johnson, Coleman And Nguyen",Entry Level,Bangalore,"python, tableau, sql, powerbi, machine learning",Full-Time,On-Site,8-30 LPA,2025-06-01,8.0,30.0
Data Analytics Specialist,Reid Plc,Internship,Bangalore,"tableau, sql, powerbi",Full-Time,Remote,10-33 LPA,2025-07-22,10.0,33.0
Data Analyst,"Jones, Christensen And Decker",Entry Level,Pune,"powerbi, sql, powerbi, tableau, excel, python",Full-Time,Hybrid,5-34 LPA,2024-11-04,5.0,34.0
Junior Data Analyst,"Marshall, Johnson And Barton",Entry Level,Remote,"python, excel, powerbi, sql",Part-Time,Remote,14-31 LPA,2025-07-01,14.0,31.0
Data Analyst,"Weber, Ali And Turner",Entry Level,Chennai,"r, powerbi, powerbi",Contract,Hybrid,6-16 LPA,2025-08-14,6.0,16.0
Junior Data Analyst,Nash-Martin,Mid Level,Kolkata,"tableau, excel, r, google colab, google cloud, powerbi",Contract,Remote,8-34 LPA,2025-06-17,8.0,34.0
Data Analyst,"Moore, Walter And Weeks",Internship,Hyderabad,"python, excel, tableau, powerbi, powerbi",Internship,Remote,9-31 LPA,2025-08-01,9.0,31.0
Junior Data Analyst,Stout Group,Internship,Kolkata,"sql, machine learning, powerbi, r",Part-Time,Hybrid,13-19 LPA,2025-06-25,13.0,19.0
Junior Data Analyst,Hanna-Flores,Internship,New Delhi,"google colab, excel, tableau, machine learning",Internship,On-Site,3-16 LPA,2025-07-12,3.0,16.0
Data Analyst,Savage-Stein,Internship,Hyderabad,"powerbi, python, r",Internship,Remote,9-24 LPA,2025-07-16,9.0,24.0
Data Analytics Specialist,"Robertson, Garza And Scott",Internship,Pune,"sql, r, excel",Contract,Hybrid,6-23 LPA,2025-07-31,6.0,23.0
Senior Data Analyst,Wright-Smith,Senior Level,New Delhi,"r, powerbi, excel, machine learning, google cloud",Full-Time,On-Site,7-29 LPA,2025-03-01,7.0,29.0
Data Analyst,Meadows Plc,Mid Level,Kolkata,"sql, powerbi, google colab, machine learning, r, excel",Full-Time,Remote,12-26 LPA,2024-10-18,12.0,26.0
